"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Antigua and Barbuda","ATG","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","5.9238608056071","4.01476574152202","3.4861771075613","3.0661770948456","6.59854119763801","5.54671363969944","4.71693672731633","5.64386079713","4.64463289213","6.6546326653674","6.94738264452088","7.66803414747542","8.95891029930351","8.67356536012076","7.92790010643235","7.6264808736054","7.8507285553264","7.6223293466414","6.99433548327825","7.13507241951508","7.02394388029766","7.96498082377086","7.84245628174153","7.53582989954556","7.0560305709931","6.91461110219025","6.89189937922051","6.58179122356335","7.62904063554153","7.53907562255182","6.99676602649857","6.90800411721803","7.17844375442281","7.36891666666666","7.6475","7.555","7.32444608333333","7.0348395","6.16923325","5.80990625","5.75962625","5.260599","",
"Australia","AUS","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","-1.7912429378531","-1.7216807909604","-0.433121468926501","-0.9648305084746","-1.5928672316384","-1.2169491525424","0.201553672316301","0.721892655367201","-1.8880649717515","0.527048022598899","2.3649717514125","3.45918079096042","3.65204802259887","3.3375","3.35148305084746","3.04844632768362","2.11836158192091","2.34646892655367","2.50755649717515","2.80967514124294","3.10416666666667","2.6625","3.10416666666667","3.2","3.36666666666666","3.55","3.66666666666666","4.18333333333333","2.94166666666666","3.06666666666667","3.4","3.05833333333333","2.92916666666667","3.04583333333333","3.27083333333333","3.27916666666666","3.23716666666667","3.28166666666666","3.54266666666667","","","","","",
"Austria","AUT","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.39","7.4033333333333","6.7566666666666","11.2475","8.71166666666663","5.91333333333337","6.53833333333333","8.5083333333333","7.2825","7.5741666666666","7.5383333333333","7.8333333333334","9.06","8.1141666666666","8.1308333333333","8.31833333333333","8.68583333333333","8.53583333333337","8.64233644907122","8.11416666666667","7.1725","7.58704850785953","8.48749424167901","7.71833324707993","5.61410674888091","5.31192049946286","",
"Burundi","BDI","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.436666666666669","-3.085","-3.06166666666666","-3.14","-3.60166666666667","-3.27333333333334","-3.24491666666666","-2.95333333333333","-2.36666666666667","-1.92","-1.84416666666666","-1.63","1.6675","1.37","1.37666666666666","1.4425","0.95","","","",
"Burkina Faso","BFA","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.26083333333333","-3.085","-3.06166666666666","-3.14","-3.60166666666667","-3.27333333333334","-3.24491666666666","-2.95333333333333","-2.36666666666667","-1.92","-1.84416666666666","-1.63","0.930000000000001","1.37","1.37666666666666","1.4425","0.95","","","",
"Bangladesh","BGD","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","2.55262881268312","2.2691547475444","2.2691547475444","2.2691547475444","1.1610701361365","-2.4724694123729","-2.4724694123729","-2.4724694123729","-2.4724694123729","-2.4724694123729","-0.6167551266586","1.2389591590557","1.2389591590557","1.2389591590557","1.1936033086335","1.1049429174565","2.0506878625998","4.64447555861906","6.19321284967548","6.13748693204664","4.73051065540812","3.78937675914757","3.63083333333333","3.6616666666667","4.06833333333333","3.66666666666667","4.7016666666667","4.9325","4.59750000000003","5.08083333333333","5.6791666666667","5.64166666666667","5.34250000000003","5.51250000000003","5.00833333333337","4.4841666666667","3.7283333333334","1.8716666666666","3.145","3.46500000000003","4.21000000000003","3.93416666666667","2.99333333333333","2.78083333333333","2.2275","2.27916666666667","1.56586403535337","1.05166666666667","",
"Bulgaria","BGR","Interest rate spread (lending rate minus deposit rate, %)","FR.INR.LNDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.20490416666663","8.19138333333337","6.404675","5.611075","5.82161666666667","5.57663333333333","5.71995833333333","6.31581666666667","6.41678333333333","5.1575","7.0682916666667","7.26119166666663","6.63004166666666","6.6301","6.606825","6.834975","6.21963333333334","5.39325","4.93576666666667","4.52424166666666","4.323325","4.10041666666666","3.726075","4.340575","",
